ports,container_type,incoterms,terms
"Abu Dhabi, AE, AEAUH",FCL,EXW,Cy/Cy
"Jebel Ali, AE, AEJEA",LCL,FCA,
"Khor al Fakkan, AE, AEKLF",Air,FAS,
"Port Rashid, AE, AEPRA",Rail,FOB,
"Luanda, AO, AOLAD",Road,CPT,
"Adelaide, AU, AUADL",,CFR,
"Alice Springs, AU, AUASP",,CIP,
"Botany Bay, AU, AUBTB",,CIF,
"Brisbane, AU, AUBNE",,,
"Cairns, AU, AUCNS",,,
"Melbourne, AU, AUMEL",,,
"Sydney, AU, AUSYD",,,
"Chittagong, BD, BDCGP",,,
"Antwerp, BE, BEANR",,,
"Bahrain, BH, BHBAH",,,
"Cotonou, BJ, BJCOO",,,
"Muara, BN, BNMUA",,,
"Gaborone, BW, BWGBE",,,
"Vancouver, CA, CAVAN",,,
"Montreal, CA, CAMTR",,,
"Prince Rupert, CA, CAPRR",,,
"Halifax, CA, CAHAL",,,
"Matadi, CD, CDMAT",,,
"Abidjan, CI, CIABJ",,,
"Douala, CM, CMDLA",,,
"Kribi, CM, CMKBI",,,
"Chiwan, CN, CNCWN",,,
"Dalian, CN, CNDLC",,,
"Foshan, CN, CNFOS",,,
"Hangzhou, CN, CNHGH",,,
"Huangpu, CN, CNHUA",,,
"Huangpu New Port, CN, CNHUN",,,
"Nanjing, CN, CNNKG",,,
"Nansha, CN, CNNSA",,,
"Ningbo, CN, CNNGB",,,
"Qingdao, CN, CNTAO",,,
"Shanghai, CN, CNSHA",,,
"Shekou, CN, CNSHK",,,
"Tianjin, CN, CNTSN",,,
"Tianjinxingang, CN, CNTXG",,,
"Xiamen, CN, CNXMN",,,
"Yantian, CN, CNYTN",,,
"Nansha New Pt, CN, CNNNP",,,
"Huangpu Old Port, CN, CNHOP",,,
"Da Chan Bay, CN, CNDCB",,,
"Foshan new port, CN, CNFRT",,,
"Port of Xingang, CN, CNXGG",,,
"Bremerhaven, DE, DEBRV",,,
"Hamburg, DE, DEHAM",,,
"Bremen, DE, DEBRE",,,
"Djibouti, DJ, DJJIB",,,
"Aalborg, DK, DKAAL",,,
"Esbjerg, DK, DKEBJ",,,
"Algiers, DZ, DZALG",,,
"Oran, DZ, DZORN",,,
"PORT SAID EAST, EG, EGPSE",,,
"EL Dekhila, EG, EGEDK",,,
"Alexandria, EG, EGALY",,,
"Sokhna, EG, EGSOK",,,
"Damietta, EG, EGDAM",,,
"El Dekheila, EG, EGEDK",,,
"Alexandria, EG, EGALY",,,
"Cairo, EG, EGCAI",,,
"Suez, EG, EGSUZ",,,
"Port Said, EG, EGPSD",,,
"Sokhna Port, EG, EGSOK",,,
"Algeciras, ES, ESALG",,,
"Barcelona, ES, ESBCN",,,
"Bilbao, ES, ESBIO",,,
"Valencia, ES, ESVLC",,,
"Addis Ababa, ET, ETADD",,,
"Fredrikshamn (Hamina), FI, FIHMN",,,
"Jacobstad (Pietarsaari), FI, FIPRS",,,
"Helsinki, FI, FIHEL",,,
"Karleby (Kokkola), FI, FIKOK",,,
"Rauma (Raumo), FI, FIRAU",,,
"Marseille, FR, FRMRS",,,
"Dunkerque, FR, FRDKK",,,
"Brest, FR, FRBES",,,
"Le Havre, FR, FRLEH",,,
"Fos-sur-Mer, FR, FRFOS",,,
"Lyon, FR, FRLIO",,,
"Libreville, GA, GALBV",,,
"Port Gentil, GA, GAPOG",,,
"Felixstowe, GB, GBFXT",,,
"Immingham, GB, GBIMM",,,
"Liverpool, GB, GBLIV",,,
"Southampton, GB, GBSOU",,,
"Accra, GH, GHACC",,,
"Banjul, GM, GMBJL",,,
"Conakry, GN, GNCKY",,,
"Piraeus, GR, GRPIR",,,
"Thessaloníki, GR, GRSKG",,,
"Hong Kong, HK, HKHKG",,,
"Bandung, ID, IDBDO",,,
"Cirebon (Tjeribon), ID, IDCBN",,,
"Jakarta, ID, IDJKT",,,
"Merak, ID, IDMRK",,,
"Tanjung Priok, ID, IDTPP",,,
"Dublin, IE, IEDUB",,,
"Haifa, IL, ILHFA",,,
"Ashdod, IL, ILASH",,,
"Chennai (ex Madras), IN, INMAA",,,
"Cochin, IN, INCOK",,,
"Kolkata (ex Calcutta), IN, INCCU",,,
"Mumbai (ex Bombay), IN, INBOM",,,
"Mundra, IN, INMUN",,,
"Nhava Sheva, IN, INNHV",,,
"Pipavav (Victor) Port, IN, INPAV",,,
"Thiruvananthapuram (ex Trivandrum, IN, INTRV",,,
"Visakhapatnam, IN, INVTZ",,,
"Umm Qasr, IQ, IQUQR",,,
"Bandar Abbas, IR, IRBND",,,
"Bushehr, IR, IRBUZ",,,
"Bari, IT, ITBRI",,,
"Cagliari, IT, ITCAG",,,
"Genoa, IT, ITGOA",,,
"Gioia Tauro, IT, ITGIT",,,
"La Spezia, IT, ITSPE",,,
"Ravenna, IT, ITRAN",,,
"Venezia, IT, ITVCE",,,
"Civitavecchia, IT, ITCVV",,,
"Amman, JO, JOAMM",,,
"Aqaba, JO, JOAQB",,,
"Tokyo, JP, JPTYO",,,
"Nagoya, JP, JPNGO",,,
"Nagoya, JP, JPNGY",,,
"Kobe, JP, JPUKB",,,
"Osaka, JP, JPOSA",,,
"Kitakyushu, JP, JPKKJ",,,
"Moji, JP, JPMOJ",,,
"Tanoura, JP, JPTNU",,,
"Tobata, JP, JPTBT",,,
"Wakamatsu, JP, JPWAM",,,
"Yawata, JP, JPYWT",,,
"Chiba, JP, JPCHB",,,
"Hakata, JP, JPHTD",,,
"Ishinomaki, JP, JPISM",,,
"Kawasaki, JP, JPKWS",,,
"Naha, JP, JPNAH",,,
"Sendai, JP, JPSEN",,,
"Sendai, JP, JPSDJ",,,
"Shimizu, JP, JPSMZ",,,
"Yokkaichi, JP, JPYKK",,,
"Mombasa, KE, KEMBA",,,
"Nairobi, KE, KENBO",,,
"Kâmpóng Saôm, KH, KHKOS",,,
"Phnom Penh, KH, KHPNH",,,
"Busan, KR, KRPUS",,,
"Incheon, KR, KRICH",,,
"Kwangyang, KR, KRKWA",,,
"Kuwait, KW, KWKWI",,,
"Shuaiba, KW, KWSAA",,,
"Shuwaikh, KW, KWSWK",,,
"Luang Prabang, LA, LALPQ",,,
"Beirut, LB, LBBEY",,,
"Colombo, LK, LKCMB",,,
"Monrovia, LR, LRMLW",,,
"Al Khums, LY, LYKHO",,,
"Tripoli, LY, LYTIP",,,
"Casablanca, MA, MACAS",,,
"Antananarivo, MG, MGTNR",,,
"Bamako, ML, MLBKO",,,
"Yangon, MM, MMRGN",,,
"Macau, MO, MOMFM",,,
"Nouakchott, MR, MRNKC",,,
"Port Louis, MU, MUPLU",,,
"Lilongwe, MW, MWLLW",,,
"Bintulu, MY, MYBTU",,,
"Johor Bahru, MY, MYJHB",,,
"Kemaman, MY, MYKEM",,,
"Port Klang, MY, MYPKG",,,
"Kuantan (Tanjong Gelang), MY, MYKUA",,,
"Pasir Gudang, MY, MYPGU",,,
"Penang (Georgetown), MY, MYPEN",,,
"Tanjung Pelepas, MY, MYTPP",,,
"Westport/Port Klang, MY, MYWSP",,,
"Maputo, MZ, MZMPM",,,
"Walvis Bay, NA, NAWVB",,,
"Windhoek, NA, NAWDH",,,
"Agades, NE, NEAJY",,,
"Niamey, NE, NENIM",,,
"Apapa, NG, NGAPP",,,
"Tincan/Lagos, NG, NGTIN",,,
"Port Harcourt, NG, NGPHC",,,
"Onne, NG, NGONN",,,
"Calabar, NG, NGCBQ",,,
"Rotterdam, NL, NLRTM",,,
"Bergen, NO, NOBGO",,,
"Bodø, NO, NOBOO",,,
"Drammen, NO, NODRM",,,
"Haugesund, NO, NOHAU",,,
"Narvik, NO, NONVK",,,
"Oslo, NO, NOOSL",,,
"Stavanger, NO, NOSVG",,,
"Auckland, NZ, NZAKL",,,
"Bluff, NZ, NZBLU",,,
"Christchurch, NZ, NZCHC",,,
"Devonport, NZ, NZDEV",,,
"Dunedin, NZ, NZDUD",,,
"Invercargill, NZ, NZIVC",,,
"Lyttelton, NZ, NZLYT",,,
"Mount Cook, NZ, NZMON",,,
"Napier, NZ, NZNPE",,,
"Nelson, NZ, NZNSN",,,
"New Plymouth, NZ, NZNPL",,,
"Port Chalmers, NZ, NZPOE",,,
"Queenstown, NZ, NZZQN",,,
"Tauranga, NZ, NZTRG",,,
"Wellington, NZ, NZWLG",,,
"Port Qaboos, OM, OMOPQ",,,
"Salalah, OM, OMSLL",,,
"Sohar, OM, OMSOH",,,
"Batangas, PH, PHBTG",,,
"Cebu, PH, PHCEB",,,
"Manila, PH, PHMNL",,,
"Manila North Harbour, PH, PHMNN",,,
"Manila South Harbour, PH, PHMNS",,,
"Subic Bay, PH, PHSFS",,,
"Gwadar, PK, PKGWD",,,
"Karachi, PK, PKKHI",,,
"Karachi Container Terminal, PK, PKKCT",,,
"Karachi-Muhammad Bin Qasim, PK, PKBQM",,,
"Gdansk, PL, PLGDN",,,
"Gdynia, PL, PLGDY",,,
"Szczecin, PL, PLSZZ",,,
"Aveiro, PT, PTAVE",,,
"Leixoes, PT, PTLEI",,,
"Lisboa, PT, PTLIS",,,
"Setúbal, PT, PTSET",,,
"Sines, PT, PTSIE",,,
"Doha, QA, QADOH",,,
"Réunion, RE, REREU",,,
"Constanta, RO, ROCND",,,
"Kaliningrad, RU, RUKGD",,,
"Murmansk, RU, RUMMK",,,
"Novorossiysk, RU, RUNVS",,,
"Vladivostok, RU, RUVVO",,,
"Saint Petersburg, RU, RUSPP",,,
"Kigali, RW, RWKGL",,,
"Ad Dammam, SA, SADMM",,,
"Jubail, SA, SAJUB",,,
"Yanbu al-Bahr, SA, SAYNB",,,
"Jeddah, SA, SAJED",,,
"Mahe, SC, SCMAW",,,
"Khartoum, SD, SDKRT",,,
"Gothenburg, SE, SEGOT",,,
"Singapore, SG, SGSIN",,,
"Koper, SI, SIKOP",,,
"Bratislava, SK, SKBTS",,,
"Freetown, SL, SLFNA",,,
"Dakar, SN, SNDKR",,,
"Mogadishu, SO, SOMGQ",,,
"Guadalupe, ST, STGUA",,,
"Damascus, SY, SYDAM",,,
"Latakia, SY, SYLTK",,,
"N'Djamena, TD, TDNDJ",,,
"Lome, TG, TGLFW",,,
"Bangkok, TH, THBKK",,,
"Laem Chabang, TH, THLCH",,,
"Bizerte, TN, TNBIZ",,,
"Gabès, TN, TNGAE",,,
"La Goulette Nord (Halqueloued), TN, TNLGN",,,
"Rades/Tunis, TN, TNRDS",,,
"Sfax, TN, TNSFA",,,
"Sousse, TN, TNSUS",,,
"Tunis, TN, TNTUN",,,
"Evyap Pt, TR, TREYP",,,
"Marport, TR, TRMPT",,,
"Istanbul, TR, TRIST",,,
"Ambarli, TR, TRAMB",,,
"Haydarpasa, TR, TRHAY",,,
"Izmir, TR, TRIZM",,,
"Izmit, TR, TRIZT",,,
"Mersin, TR, TRMER",,,
"Hualien, TW, TWHUN",,,
"Kaohsiung, TW, TWKHH",,,
"Keelung (Chilung), TW, TWKEL",,,
"Taichung, TW, TWTXG",,,
"Taipei, TW, TWTPE",,,
"Dar es Salaam, TZ, TZDAR",,,
"Mtwara, TZ, TZMYW",,,
"Tanga, TZ, TZTGT",,,
"Ilyichevsk, UA, UAILY",,,
"Odessa, UA, UAODS",,,
"Kampala, UG, UGKLA",,,
"Long Beach, US, USLGB",,,
"Los Angeles, US, USLAX",,,
"New York, US, USNYC",,,
"Savannah, US, USSAV",,,
"Seattle, US, USSEA",,,
"Virginia Beach, US, USVAB",,,
"Houston, US, USHOU",,,
"Charleston, US, USCHS",,,
"Oakland, US, USOAK",,,
"Miami, US, USMIA",,,
"Da Nang, VN, VNDAD",,,
"Haiphong, VN, VNHPH",,,
"Ho Chi Minh City, VN, VNSGN",,,
"Ho Chi Minh, VN, VNVIC",,,
"Qui Nhon, VN, VNUIH",,,
"Aden, YE, YEADE",,,
"Cape Town, ZA, ZACPT",,,
"Durban, ZA, ZADUR",,,
"East London, ZA, ZAELS",,,
"Port Elizabeth, ZA, ZAPLZ",,,
"Port Nolloth, ZA, ZANOL",,,
"Richards Bay, ZA, ZARCB",,,
"Harare, ZW, ZWHRE",,,